4.8566 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
121.4541 	DATA 	Keypress: right
121.4661 	EXP 	fixation: autoDraw = False
121.4661 	EXP 	grating: autoDraw = False
121.4664 	EXP 	window1: recordFrameIntervals = False
122.4462 	EXP 	fixation: autoDraw = True
123.4491 	EXP 	fixation: autoDraw = False
123.4659 	EXP 	grating: autoDraw = True
123.4659 	EXP 	grating: tex = 'sin'
123.7663 	EXP 	grating: autoDraw = False
123.9037 	EXP 	window1: recordFrameIntervals = False
123.9076 	DATA 	Keypress: left
123.9164 	EXP 	fixation: autoDraw = False
123.9164 	EXP 	grating: autoDraw = False
123.9168 	EXP 	window1: recordFrameIntervals = False
124.8967 	EXP 	fixation: autoDraw = True
125.8995 	EXP 	fixation: autoDraw = False
125.8995 	EXP 	grating: autoDraw = True
125.8995 	EXP 	grating: tex = 'sin'
126.1992 	EXP 	grating: autoDraw = False
126.2712 	EXP 	window1: recordFrameIntervals = False
126.2741 	DATA 	Keypress: right
126.2826 	EXP 	fixation: autoDraw = False
126.2826 	EXP 	grating: autoDraw = False
126.2832 	EXP 	window1: recordFrameIntervals = False
127.2640 	EXP 	fixation: autoDraw = True
128.2657 	EXP 	fixation: autoDraw = False
128.2827 	EXP 	grating: autoDraw = True
128.2827 	EXP 	grating: tex = 'sin'
128.5824 	EXP 	grating: autoDraw = False
128.6703 	EXP 	window1: recordFrameIntervals = False
128.6726 	DATA 	Keypress: right
128.6822 	EXP 	fixation: autoDraw = False
128.6822 	EXP 	grating: autoDraw = False
128.6827 	EXP 	window1: recordFrameIntervals = False
129.6642 	EXP 	fixation: autoDraw = True
130.6653 	EXP 	fixation: autoDraw = False
130.6823 	EXP 	grating: autoDraw = True
130.6823 	EXP 	grating: tex = 'sin'
130.9819 	EXP 	grating: autoDraw = False
131.0201 	DATA 	Keypress: right
131.0360 	EXP 	window1: recordFrameIntervals = False
131.0487 	EXP 	fixation: autoDraw = False
131.0487 	EXP 	grating: autoDraw = False
131.0490 	EXP 	window1: recordFrameIntervals = False
132.0296 	EXP 	fixation: autoDraw = True
133.0321 	EXP 	fixation: autoDraw = False
133.0487 	EXP 	grating: autoDraw = True
133.0487 	EXP 	grating: tex = 'sin'
133.3484 	EXP 	grating: autoDraw = False
133.5170 	DATA 	Keypress: left
133.5338 	EXP 	window1: recordFrameIntervals = False
133.5480 	EXP 	fixation: autoDraw = False
133.5480 	EXP 	grating: autoDraw = False
133.5482 	EXP 	window1: recordFrameIntervals = False
134.5280 	EXP 	fixation: autoDraw = True
135.5315 	EXP 	fixation: autoDraw = False
135.5485 	EXP 	grating: autoDraw = True
135.5485 	EXP 	grating: tex = 'sin'
135.8481 	EXP 	grating: autoDraw = False
135.9524 	DATA 	Keypress: left
135.9692 	EXP 	window1: recordFrameIntervals = False
135.9816 	EXP 	fixation: autoDraw = False
135.9816 	EXP 	grating: autoDraw = False
135.9820 	EXP 	window1: recordFrameIntervals = False
136.9617 	EXP 	fixation: autoDraw = True
137.9642 	EXP 	fixation: autoDraw = False
137.9811 	EXP 	grating: autoDraw = True
137.9811 	EXP 	grating: tex = 'sin'
138.2807 	EXP 	grating: autoDraw = False
138.3660 	EXP 	window1: recordFrameIntervals = False
138.3669 	DATA 	Keypress: right
138.3807 	EXP 	fixation: autoDraw = False
138.3807 	EXP 	grating: autoDraw = False
138.3809 	EXP 	window1: recordFrameIntervals = False
139.3592 	EXP 	fixation: autoDraw = True
140.3642 	EXP 	fixation: autoDraw = False
140.3811 	EXP 	grating: autoDraw = True
140.3811 	EXP 	grating: tex = 'sin'
140.6807 	EXP 	grating: autoDraw = False
